NAME,N_SUPPORTED_LANGUAGES,DEVELOPERS,POSITIVE_REVIEWS,NEGATIVE_REVIEWS,PRICE,24_HOUR_PEAK,PUBLISH_YEAR,RATING_SCORE,TOTAL_RATE_SUM,TWITCH_PEAK_HOUR,TWITCH_PEAK_YEAR,TECH:  ,"TECH: ,",TECH: -,TECH: .,TECH: 2,TECH: 3,TECH: 4,TECH: 8,TECH: A,TECH: B,TECH: C,TECH: D,TECH: E,TECH: F,TECH: G,TECH: H,TECH: I,TECH: J,TECH: K,TECH: L,TECH: M,TECH: N,TECH: O,TECH: P,TECH: Q,TECH: R,TECH: S,TECH: T,TECH: U,TECH: V,TECH: W,TECH: X,TECH: Y,TECH: Z,TECH: _,TECH: a,TECH: b,TECH: c,TECH: d,TECH: e,TECH: f,TECH: g,TECH: h,TECH: i,TECH: k,TECH: l,TECH: m,TECH: n,TECH: o,TECH: p,TECH: q,TECH: r,TECH: s,TECH: t,TECH: u,TECH: v,TECH: w,TECH: x,TECH: y,TECH: z,GENRE: Action,GENRE: Adventure,GENRE: Casual,GENRE: Early Access,GENRE: Free to Play,GENRE: Indie,GENRE: Massively Multiplayer,GENRE: RPG,GENRE: Racing,GENRE: Simulation,GENRE: Sports,GENRE: Store Genres,GENRE: Strategy,OS: Linux,OS: Windows,OS: macOS
wrongworld,5,Sludj Games,446,28,6.99,3.0,2018,0.9409282700421941,474,44.0,2018,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
v rising,16,Stunlock Studios,81360,10642,34.99,59277.0,2024,0.8843286015521402,92002,150645.0,2022,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
hyperhell,1,Diency games,141,3,0.0,1.0,2023,0.9791666666666666,144,12.0,2023,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
gunvein,1,NGDEV,156,4,,3.0,2022,0.975,160,38.0,2022,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
two cubes,1,Rombo,92,0,0.99,2.0,2023,1.0,92,12.0,2023,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
双相,1,珠海金山网络游戏科技有限公司,358,20,0.0,5.0,2022,0.9470899470899471,378,51.0,2022,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
dream car builder,12,RoKo0 (Roman Konyukhov),938,76,9.99,22.0,2018,0.9250493096646942,1014,75.0,2021,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
unspottable,10,GrosChevaux,492,32,9.99,17.0,2020,0.9389312977099237,524,573.0,2023,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1
shashingo: learn japanese with photography,3,Autumn Pioneer,370,21,19.99,17.0,2024,0.9462915601023018,391,132.0,2024,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
lonely mountains: downhill,12,Megagon Industries,2192,212,19.99,31.0,2019,0.9118136439267887,2404,277.0,2023,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1
