name,url,price,release,page
Ancient Warfare 3,https://steamdb.info/app/758990/,$12.99 ,2024,29
沙雕之路,https://steamdb.info/app/1092590/,$7.00 ,2019,29
Shipwrecked 64,https://steamdb.info/app/2160220/,$7.99 ,2024,29
Red Dead Redemption 2,https://steamdb.info/app/1174180/,$23.99 ,2019,29
The Legend of Heroes: Trails in the Sky,https://steamdb.info/app/251150/,$19.99 ,2014,29
Weed Shop 3,https://steamdb.info/app/1182110/,$19.99 ,2022,29
Toree 3D,https://steamdb.info/app/1554840/,$0.99 ,2021,29
Pinkman,https://steamdb.info/app/516480/,$0.99 ,2017,29
Shadow Gambit: The Cursed Crew,https://steamdb.info/app/1545560/,$39.99 ,2023,29
SteamWorld Heist,https://steamdb.info/app/322190/,$1.49 ,2016,29
Legend of Grimrock,https://steamdb.info/app/207170/,$14.99 ,2012,29
Timberman,https://steamdb.info/app/398710/,$0.99 ,2015,29
人间 The Lost We Lost,https://steamdb.info/app/1057680/,$3.99 ,2019,29
RealRTCW,https://steamdb.info/app/1379630/,-,2020,29
"Save Me, Sakuya-san!",https://steamdb.info/app/1639610/,$2.24 ,2021,29
Half-Life 2: Update,https://steamdb.info/app/290930/,-,2015,29
Jusant,https://steamdb.info/app/1977170/,$17.49 ,2023,29
Serious Sam HD: The First Encounter,https://steamdb.info/app/41000/,$11.00 ,2009,29
Railbound,https://steamdb.info/app/1967510/,$12.99 ,2022,29
I Expect You To Die 2: The Spy and the Liar,https://steamdb.info/app/1499120/,$15.99 ,2021,29
Higurashi When They Cry Hou - Ch.4 Himatsubushi,https://steamdb.info/app/526490/,$2.99 ,2016,29
Yoiyami Dancers: Twilight Danmaku Dancers,https://steamdb.info/app/1998530/,$9.99 ,2022,29
Creeper World: Anniversary Edition,https://steamdb.info/app/422910/,$4.99 ,2016,29
Snacko,https://steamdb.info/app/1125510/,$24.99 ,2023,29
Kemono Friends Cellien May Cry,https://steamdb.info/app/1962920/,-,2022,29
SCP: Secret Laboratory,https://steamdb.info/app/700330/,-,2017,29
Poly Bridge 3,https://steamdb.info/app/1850160/,$19.99 ,2023,29
DISTRAINT: Deluxe Edition,https://steamdb.info/app/395170/,$0.84 ,2015,29
Slap City,https://steamdb.info/app/725480/,$19.99 ,2020,29
Scarlet Hollow — Episode 1,https://steamdb.info/app/1406040/,-,2020,29
Coloring Game 3,https://steamdb.info/app/1275640/,-,2020,29
Zup! 9,https://steamdb.info/app/1098340/,$1.99 ,2019,29
Deep Sleep Trilogy,https://steamdb.info/app/1146510/,$4.99 ,2019,29
Death Trash,https://steamdb.info/app/941460/,$19.99 ,2021,29
Small Saga,https://steamdb.info/app/1320140/,$19.99 ,2023,29
Duelists of Eden,https://steamdb.info/app/1664200/,$4.99 ,2024,29
Shinobi Warfare,https://steamdb.info/app/1895300/,-,2022,29
Zup! Q,https://steamdb.info/app/2206560/,$1.99 ,2023,29
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,https://steamdb.info/app/35450/,$19.99 ,2011,29
Return to Shironagasu Island,https://steamdb.info/app/1156990/,$4.99 ,2020,29
The Spirit and the Mouse,https://steamdb.info/app/1679210/,$19.99 ,2022,29
千面 Melancholy Love,https://steamdb.info/app/1168470/,$4.99 ,2020,29
Five Nights At Floppa,https://steamdb.info/app/1878740/,$2.99 ,2022,29
Sifu,https://steamdb.info/app/2138710/,$39.99 ,2023,29
STEINS;GATE: Linear Bounded Phenogram,https://steamdb.info/app/930910/,$59.99 ,2019,29
Symphonic Rain,https://steamdb.info/app/629650/,$39.99 ,2017,29
STONKS-9800: Stock Market Simulator,https://steamdb.info/app/1539140/,$9.99 ,2023,29
Avatar: Frontiers of Pandora™,https://steamdb.info/app/2840770/,-,2024,46
Fog of War: Book One,https://steamdb.info/app/2676180/,$9.95 ,2024,46
Building Relationships,https://steamdb.info/app/2666920/,-,-,46
Let's Go! My Harem Farm,https://steamdb.info/app/2659960/,-,2024,46
BoneField: Bodycam Horror,https://steamdb.info/app/2567770/,-,-,46
TEXNOPLAZM,https://steamdb.info/app/2527710/,-,-,46
Ripple In Dirac Sea,https://steamdb.info/app/2421650/,-,-,46
100 Egypt Cats,https://steamdb.info/app/3017380/,-,-,46
Pebbles Quest,https://steamdb.info/app/3002610/,-,-,46
腐朽默示 / Revelation of Decay,https://steamdb.info/app/2975680/,-,-,46
Happy Bastards,https://steamdb.info/app/2964560/,-,-,46
Egging On,https://steamdb.info/app/2897610/,-,-,46
Undusted: Letters from the Past,https://steamdb.info/app/2891020/,-,-,46
Descending The Woods,https://steamdb.info/app/2868070/,-,2024,46
Into the Emberlands,https://steamdb.info/app/2856370/,-,-,46
Ocean World: Eden Crafters,https://steamdb.info/app/2811830/,-,2024,46
TROLEU,https://steamdb.info/app/2731330/,-,-,46
Grunn,https://steamdb.info/app/2720950/,-,-,46
Canyons,https://steamdb.info/app/2708860/,-,-,46
Sunset Devils,https://steamdb.info/app/2695810/,-,-,46
Starbreed,https://steamdb.info/app/2694020/,-,-,46
Blood Running,https://steamdb.info/app/2641490/,-,-,46
To the Star,https://steamdb.info/app/2597200/,-,-,46
