name,price,release
DOOM,$19.99,2016
Aokana - Four Rhythms Across the Blue,$34.99,2019
Resident Evil Village,$39.99,2021
Fear & Hunger 2: Termina,$11.99,2022
Alba: A Wildlife Adventure,$4.24,2020
巫兎 - KANNAGI USAGI -,-,2023
Scarlet Hollow,$24.99,2021
Shadow Tactics: Blades of the Shogun,$39.99,2016
Pseudoregalia,$5.99,2023
Saints Row: The Third,$9.99,2011
Handshakes,-,2023
Peggle Deluxe,$4.99,2007
Café Stella and the Reaper's Butterflies,$34.99,2022
Monster Prom 3: Monster Roadtrip,$11.99,2022
Marco & The Galaxy Dragon,$7.99,2020
Aokana - Four Rhythms Across the Blue - EXTRA2,$24.99,2022
The Planet Crafter,$23.99,2024
Teardown,$29.99,2022
Supreme Commander: Forged Alliance,$12.99,2011
Kindergarten 2,$14.99,2019
Danganronpa 2: Goodbye Despair,$19.99,2016
Your Only Move Is HUSTLE,$4.99,2023
BABBDI,-,2022
Beat Saber,$29.99,2019
The Walking Dead: The Telltale Definitive Series,$49.99,2020
Titanfall® 2,$29.99,2020
SOMA,$2.99,2015
Vampires' Melody,$3.99,2020
Desperados III,$39.99,2020
Milo and the Magpies,$2.99,2021
Universe Sandbox,$29.99,2015
HuniePop,$9.99,2015
Halls of Torment,$4.99,2023
Crow Country,$19.99,2024
FTL: Faster Than Light,$9.99,2012
Cats Organized Neatly,$2.99,2020
异化之恶〇Abnormal Treatment,-,2019
Ghost Trick: Phantom Detective,$29.99,2023
Zup! F,$1.99,2019
Outer Wilds,$14.99,2020
Opus Magnum,$9.99,2017
Find Love or Die Trying,$4.99,2021
Dialtown: Phone Dating Sim,$7.99,2022
The Upturned,$9.99,2022
Danganronpa: Trigger Happy Havoc,$19.99,2016
Portal Reloaded,-,2021
Dungeon Munchies,$19.99,2022
Alpaca Stacka,-,2021
Black Mesa,$19.99,2020
Ultimate Chicken Horse,$14.99,2016
Yakuza 0,$19.99,2018
DREDGE,$24.99,2023
CarX Drift Racing Online,$14.99,2017
Bugsnax,$7.49,2022
Hook,$1.99,2015
